case_id,query,reference,expected,strategy,method,answer,latency_s,doc_context,graph_context,em,f1,rouge_l,semantic_similarity,key_precision,key_recall
Q07,封闭火区附近监测异常并伴随回风温度升高，应如何安排复查与警戒？,按火区复燃风险处置，限制进入，设警戒，组织复查并持续监测，报告调度。,"['火灾', '高温', '设置警戒', '限制进入', '复查', '持续监测', '上报调度']",hybrid_graph,混合图检索策略,"风险判断：封闭火区附近监测异常且回风温度升高，存在复燃或瓦斯积聚爆炸风险。  
依据：规程第二百八十四条明确启封火区需监测CO、CH₄浓度及风流温度，发现复燃征兆须立即停风并重新封闭。  
处置动作：立即停止送风，由矿山救护队逐段恢复通风并连续监测气体与温度，确认安全前严禁作业。  
责任分工：矿山救护队负责启封与初期通风，安全监测工与瓦斯检查工协同检测气体，调度室组织人员撤离。",1.611,"[1] 来源：煤矿安全规程2025.pdf；片段：第二百八十四条-282；得分：0.9116
第二百八十四条 启封已熄灭的火区前,必须制定安全措施. 启封火区时,应当逐段恢复通风,同时测定回风流中的一氧化 碳、甲烷浓度和风流温度.发现复燃征兆时,必须立即停止向火区 送风,并重新封闭火区. 启封火区和恢复火区初期通风等工作,必须由矿山救护队负 责进行,火区回风风流所经过巷道中的人员必须全部撤出. 在启封火区工作完毕后的３天内,每班必须由矿山救护队检 查通风工作,并测定水温、空气温度和空气成分.只有在确认火区 完全熄灭、通风等情况良好后,方可进行生产工作.

[2] 来源：煤矿安全规程2025.pdf；片段：第二百七十八条-276；得分：0.8243
第二百七十八条 封闭火区时,应当合理确定封闭范围,必须 检测甲烷、氧气、一氧化碳、二氧化碳、乙烯、乙炔、煤尘浓度和风 向、风量的变化,并采取防止瓦斯、煤尘爆炸和人员窒息、中毒的安 全措施. 封闭有爆炸性危险火区时,应当遵守下列规定: (一)优先采用地面钻孔注浆封闭或者井下远距离控制设备封 闭的措施. (二)严禁在火区的采煤工作面进回风巷内封闭,封闭地点应 当选择在距离火区位置较远的巷道. (三)封闭火区前,封闭所需要的设备设施材料提前准备到位, 撤出全部与封闭施工无关的人员. ７ — ０ — １ (四)封闭火区时,首先建造临时密闭,撤出人员,远距离监测 风向、风量、烟雾和气体组分等参数,稳定２４h以上并确认无爆炸 危险后,再施工隔爆墙,最后施工永久密闭. (五)火区封闭后,只有在采取惰化火区等措施,稳定４８h以 上,经评 估 无 爆 炸 危 险 后,方 可 恢 复 井 下 不 受 火 区 影 响 区 域 的 作业. 火区密闭被爆炸破坏的,只有确认不再发生爆炸的前提下才 能远距离探查.经探查确定合理的火区封闭区域,并按照上述规 定进行火区封闭. 第四节 井下火区管理

[3] 来源：煤矿安全规程2025.pdf；片段：第二百七十七条-275；得分：0.8028
第二百七十七条 任何人发现井下火灾时,视火灾性质、灾区 通风和瓦斯情况,尽可能直接灭火或者控制火势,并迅速报告矿调 度室.矿调度室在接到井下火灾报告后,应当立即按照灾害预防 和处理计划通知有关人员组织抢救灾区人员和实施灭火工作. 矿值班调度和在现场的区、队、班组长应当依照灾害预防和处 理计划的规定,将所有可能受火灾威胁区域中的人员撤离,并组织 人员灭火.电气设备着火时,应当首先切断其电源;在切断电源前 灭火,必须使用不导电的灭火器材进行灭火. 抢救人员和灭火过程中,必须指定专人检查甲烷、一氧化碳、 煤尘、其他有害气体浓度和风向、风量的变化,并采取防止瓦斯、煤 尘爆炸和人员中毒的安全措施.

[4] 来源：煤矿安全规程2025.pdf；片段：第五百八十三条-576；得分：0.789
第五百八十三条 在高温区、自然发火区进行爆破作业时,必 须遵守下列规定: (一)采用两种方法测试孔内温度.有明火的炮孔或者孔内温 度在８０℃以上的高温炮孔采取灭火、降温措施. (二)高温孔经降温处理合格后方可装药起爆. (三)高温孔应当采用热感度低的炸药,或者将炸药、雷管作隔 热包装. (四)根据炮孔升温速率确定装药时间和爆破孔数. (五)火区爆破必须制定专项技术措施.","[1] 使用便携式检测仪与甲烷传感器对照 -> PERFORMED_BY -> 井下安全监测工（第五百三十二条；证据：井下安全监测工或者瓦斯检查工使用便携式光学甲烷检测仪或者便携式甲烷检测报警仪与甲烷传感器进行对照）
[2] 使用便携式检测仪与甲烷传感器对照 -> PERFORMED_BY -> 瓦斯检查工（第五百三十二条；证据：井下安全监测工或者瓦斯检查工使用便携式光学甲烷检测仪或者便携式甲烷检测报警仪与甲烷传感器进行对照）
[3] 第五百三十二条 -> CONTAINS -> 使用便携式检测仪与甲烷传感器对照（第五百三十二条；证据：井下安全监测工或者瓦斯检查工使用便携式光学甲烷检测仪或者便携式甲烷检测报警仪与甲烷传感器进行对照）
[4] 布设GNSS监测线 -> REQUIRES -> 全球导航卫星系统（第六百三十九条；条件：每隔200~400m布设1条监测线，不少于3条，每线不少于3个监测点；证据：每隔２００~４００m 布设１条监测线,但不得少于３条监测线,每条监测线上监测点不得少于３个）
[5] 煤层自然发火 -> APPLIES_TO -> 建立边坡监测预警系统（第二百六十三条；证据：建立自然发火监测系统）",0.7143,0.5263,0.1667,0.7572,0.4167,0.7143
Q08,事故扩大需要调度室、通防、机电和救护队同时联动，统一口径应包含哪些内容？,统一口径应包含事故类型、风险等级、撤离情况、规程依据、责任分工、通信要求和升级条件。,"['事故扩大', '风险等级', '撤离人员', '规程依据', '责任分工', '保持通信', '协同联动', '升级上报']",pure_llm,纯LLM,"风险判断：事故扩大可能引发次生灾害，需多部门协同控制。  
依据：事故发展迅速，单一部门无法独立应对，必须联动响应。  
处置动作：调度室统一指挥，通防负责气体监测与通风调整，机电保障供电与设备安全，救护队实施救援与人员撤离。  
责任分工：调度室协调全局，通防、机电、救护队按指令执行专业任务，确保信息同步、行动一致。",1.481,,,0.625,0.5556,0.1244,0.765,0.5,0.625
Q08,事故扩大需要调度室、通防、机电和救护队同时联动，统一口径应包含哪些内容？,统一口径应包含事故类型、风险等级、撤离情况、规程依据、责任分工、通信要求和升级条件。,"['事故扩大', '风险等级', '撤离人员', '规程依据', '责任分工', '保持通信', '协同联动', '升级上报']",vector_rag,纯向量RAG,"风险判断：事故扩大需多部门联动，信息不统一易导致救援混乱或二次事故。  
依据：规程第七百六十三条明确救援现场需设立地面与井下基地，保持联络并统一指挥。  
处置动作：统一口径应包含灾情现状、救援方案、人员分布、通风与气体数据、装备调配及联络方式。  
责任分工：调度室负责信息汇总与指令下达，通防提供气体与通风数据，机电保障设备运行，救护队执行救援并反馈现场情况。",2.011,"[1] 来源：煤矿安全规程2025.pdf；片段：第七百五十六条-745；得分：0.8585
第七百五十六条 专职救护队应当配备救援车辆及通信、灭 火、排水、探察、气体分析、个体防护等救援装备,建有实操、虚拟等 演习训练设施. 兼职救护队应当配备通信、气体检测、灭火、个体防护等救援 装备,设置训练设施.

[2] 来源：煤矿安全规程2025.pdf；片段：第七百六十三条-752；得分：0.8418
第七百六十三条 在重特大事故或者复杂事故救援现场,应 当设立地面基地和井下基地,安排矿山救护队指挥员、待机小队和 急救员值班,设置通往救援指挥部和灾区的电话,配备必要的救护 装备和器材. 地面基地应当设置在靠近井口的安全地点,配备气体分析化 验设备等相关装备. 井下基地应当设置在靠近灾区的安全地点,设专人看守电话 ５ — ８ — ２ 并做好记录,保持与救援指挥部、灾区工作救护小队的联络.指派 专人检测风流、有害气体浓度及巷道支护等情况.

[3] 来源：煤矿安全规程2025.pdf；片段：第七百六十五条-754；得分：0.8314
第七百六十五条 处理灾变事故时,应当撤出灾区所有人员, 准确统计井下人数,严格控制入井人数;提供救援需要的图纸和技 术资料;组织人力、调配装备和物资参加抢险救援,做好后勤保障 工作.

[4] 来源：煤矿安全规程2025.pdf；片段：第七百六十二条-751；得分：0.8002
第七百六十二条 矿井发生灾害事故后,必须首先组织专职 救护队进行灾区探察,探明灾区情况.救援指挥部应当根据灾害 性质,事故发生地点、波及范围,灾区人员分布、可能存在的危险因 素,以及救援的人力和物力,制定抢救方案和安全保障措施. 专职救护队执行灾区探察任务和实施救援时,必须至少有１ 名中队或者中队以上指挥员带队.",,0.5,0.5333,0.1667,0.7658,0.5714,0.5
Q08,事故扩大需要调度室、通防、机电和救护队同时联动，统一口径应包含哪些内容？,统一口径应包含事故类型、风险等级、撤离情况、规程依据、责任分工、通信要求和升级条件。,"['事故扩大', '风险等级', '撤离人员', '规程依据', '责任分工', '保持通信', '协同联动', '升级上报']",hybrid_graph,混合图检索策略,"风险判断：事故扩大需多部门联动，信息不统一易致指挥混乱。  
依据：规程第七百六十三条要求设立地面与井下基地，确保通信畅通，统一指挥。  
处置动作：统一口径应包含灾情现状、救援方案、人员分工、通信方式、安全区域及联络人。  
责任分工：调度室负责通知与协调，通防负责气体监测与通风，机电保障设备运行，救护队执行救援，由专职救护队指挥员统一指挥。",1.817,"[1] 来源：煤矿安全规程2025.pdf；片段：第七百五十六条-745；得分：0.8585
第七百五十六条 专职救护队应当配备救援车辆及通信、灭 火、排水、探察、气体分析、个体防护等救援装备,建有实操、虚拟等 演习训练设施. 兼职救护队应当配备通信、气体检测、灭火、个体防护等救援 装备,设置训练设施.

[2] 来源：煤矿安全规程2025.pdf；片段：第七百六十三条-752；得分：0.8418
第七百六十三条 在重特大事故或者复杂事故救援现场,应 当设立地面基地和井下基地,安排矿山救护队指挥员、待机小队和 急救员值班,设置通往救援指挥部和灾区的电话,配备必要的救护 装备和器材. 地面基地应当设置在靠近井口的安全地点,配备气体分析化 验设备等相关装备. 井下基地应当设置在靠近灾区的安全地点,设专人看守电话 ５ — ８ — ２ 并做好记录,保持与救援指挥部、灾区工作救护小队的联络.指派 专人检测风流、有害气体浓度及巷道支护等情况.

[3] 来源：煤矿安全规程2025.pdf；片段：第七百六十五条-754；得分：0.8314
第七百六十五条 处理灾变事故时,应当撤出灾区所有人员, 准确统计井下人数,严格控制入井人数;提供救援需要的图纸和技 术资料;组织人力、调配装备和物资参加抢险救援,做好后勤保障 工作.

[4] 来源：煤矿安全规程2025.pdf；片段：第七百六十二条-751；得分：0.8002
第七百六十二条 矿井发生灾害事故后,必须首先组织专职 救护队进行灾区探察,探明灾区情况.救援指挥部应当根据灾害 性质,事故发生地点、波及范围,灾区人员分布、可能存在的危险因 素,以及救援的人力和物力,制定抢救方案和安全保障措施. 专职救护队执行灾区探察任务和实施救援时,必须至少有１ 名中队或者中队以上指挥员带队.","[1] 专职救护队指挥员 -> PERFORMED_BY -> 协调指挥救援（第七百六十一条；条件：多支矿山救护队联合参加救援；证据：多支矿山救护队联合参加救援时,应当由服务于发生事故煤矿的专职救护队指挥员负责协调、指挥各矿山救护队实施救援）
[2] 矿调度室 -> PERFORMED_BY -> 通知救援力量（第二百七十七条；证据：矿调度室在接到井下火灾报告后,应当立即按照灾害预防和处理计划通知有关人员组织抢救灾区人员和实施灭火工作）
[3] 出动救援 -> PERFORMED_BY -> 救护小队（第七百三十八条；证据：专职救护队在接到事故报告电话、值班人员发出警报后,必须在１min内出动救援）
[4] 接到事故报告电话 -> IF -> 出动救援（第七百三十八条；条件：within 1min；证据：专职救护队在接到事故报告电话、值班人员发出警报后,必须在１min内出动救援）
[5] 值班人员发出警报 -> IF -> 出动救援（第七百三十八条；条件：within 1min；证据：专职救护队在接到事故报告电话、值班人员发出警报后,必须在１min内出动救援）",0.625,0.5556,0.165,0.7984,0.5,0.625
Q09,局部通风机停运后瓦斯传感器连续报警，现场第一反应应是什么？,局扇停运报警后，应立即停工断电撤人，恢复通风并开展瓦斯复测，报告调度。,"['瓦斯超限', '停止作业', '切断电源', '撤离人员', '加强通风', '复测', '上报调度']",pure_llm,纯LLM,"风险判断：存在瓦斯积聚超限引发爆炸或窒息的重大安全风险。  
依据：局部通风机停运导致掘进工作面停风，瓦斯无法排出，浓度持续上升触发报警。  
处置动作：立即停止作业，撤出所有人员至全风压通风安全区域，切断电源，设置警戒。  
责任分工：现场跟班队长或班组长负责组织撤人、警戒，瓦斯检查工核实瓦斯浓度，调度室协调恢复通风。",1.22,,,0.8571,0.6667,0.2032,0.7573,0.5455,0.8571
Q09,局部通风机停运后瓦斯传感器连续报警，现场第一反应应是什么？,局扇停运报警后，应立即停工断电撤人，恢复通风并开展瓦斯复测，报告调度。,"['瓦斯超限', '停止作业', '切断电源', '撤离人员', '加强通风', '复测', '上报调度']",vector_rag,纯向量RAG,"风险判断：局部通风机停运导致瓦斯积聚，存在瓦斯超限爆炸或窒息风险。  
依据：规程第五百四十二条要求局部通风机必须设置开停传感器，停运时应触发报警并联动闭锁。  
处置动作：立即停止作业，撤出人员，切断电源，启动应急通风措施，查明停风原因。  
责任分工：现场班组长负责组织撤人并报告调度室，瓦斯检查员核实瓦斯浓度，机电人员排查故障。",2.236,"[1] 来源：煤矿安全规程2025.pdf；片段：第五百四十二条-535；得分：0.8905
第五百四十二条 主要通风机、局部通风机必须设置设备开 ２ — ２ — ２ 停传感器. 主要风门必须设置风门开关传感器,当两道风门同时打开时, 发出声光报警信号. 甲烷电闭锁和风电闭锁的被控开关的负荷侧必须设置馈电状 态传感器. 第三节 人员位置监测

[2] 来源：煤矿安全规程2025.pdf；片段：第二百五十三条-251；得分：0.8055
第二百五十三条 装有带式输送机的运输巷作为进风巷时, 必须制定专项安全技术措施,并遵守下列规定: ９ — — ９ (一)带式输送机的机头和机尾滚筒下风侧１０~２０m 范围内 应当监测烟雾和一氧化碳等参数,每延长１０００m 至少增设一处监 测点,必须实现带式输送机火灾监测预警功能. (二)必须加强巷道维护和带式输送机运行管理,防止带式输 送机设备因巷道变形、托辊等部件故障引发火灾.

[3] 来源：煤矿安全规程2025.pdf；片段：第二百零五条-204；得分：0.8019
第二百零五条 抽采瓦斯必须遵守下列规定: (一)抽采容易自燃和自燃煤层的采空区瓦斯时,抽采管路应 当安设一氧化碳、甲烷、温度传感器,实现实时监测监控.发现有 自然发火预兆时,应当立即采取措施. (二)井上下敷设的瓦斯管路,不得与非本质安全型带电物体 接触,并应当有防止砸坏管路的措施. (三)采用干式抽采瓦斯设备时,必须具有自动监控瓦斯浓度 功能的装置,进入抽采泵的瓦斯浓度必须高于２５％或者低于２％、 煤尘浓度不得高于１g/m ３,否则不得使用干式抽采.采用干式抽 采必须由煤矿企业技术负责人审批. (四)在抽采泵出气侧管路及利用瓦斯的系统中必须装设有防 回火、防回流和防爆炸作用的安全装置. (五)瓦斯利用应当按照国家相关规定执行. 第二节 煤尘爆炸防治

[4] 来源：煤矿安全规程2025.pdf；片段：第五百三十九条-532；得分：0.7993
第五百三十九条 采煤机、掘进机、掘锚一体机、连续采煤机、 TBM 等必须设置具有断电闭锁功能的甲烷断电仪.高瓦斯、突 出矿井采煤机机载断电仪的甲烷浓度以及采煤机开停等监控数据 应当接入安全监控系统. 井下下列设备必须设置具有断电闭锁功能的甲烷断电仪,或 者无线甲烷传感器,或者便携式甲烷检测报警仪: (一)梭车、锚杆钻车. (二)采 用 防 爆 蓄 电 池 或 者 防 爆 柴 油 机 为 动 力 装 置 的 运 输 设备. (三)其他需要安装的移动设备.",,0.8571,0.7059,0.1969,0.7459,0.6,0.8571
Q09,局部通风机停运后瓦斯传感器连续报警，现场第一反应应是什么？,局扇停运报警后，应立即停工断电撤人，恢复通风并开展瓦斯复测，报告调度。,"['瓦斯超限', '停止作业', '切断电源', '撤离人员', '加强通风', '复测', '上报调度']",hybrid_graph,混合图检索策略,"风险判断：局部通风机停运导致瓦斯积聚，存在瓦斯超限爆炸风险。  
依据：规程第五百四十二条要求局部通风机必须设置开停传感器，停运时应触发报警并闭锁相关设备。  
处置动作：立即停止作业、撤出人员，切断电源，启动备用局部通风机恢复通风。  
责任分工：现场跟班队长负责指挥撤人，瓦斯检查工确认瓦斯浓度，电工检查通风机及供电系统。",1.845,"[1] 来源：煤矿安全规程2025.pdf；片段：第五百四十二条-535；得分：0.8905
第五百四十二条 主要通风机、局部通风机必须设置设备开 ２ — ２ — ２ 停传感器. 主要风门必须设置风门开关传感器,当两道风门同时打开时, 发出声光报警信号. 甲烷电闭锁和风电闭锁的被控开关的负荷侧必须设置馈电状 态传感器. 第三节 人员位置监测

[2] 来源：煤矿安全规程2025.pdf；片段：第二百五十三条-251；得分：0.8055
第二百五十三条 装有带式输送机的运输巷作为进风巷时, 必须制定专项安全技术措施,并遵守下列规定: ９ — — ９ (一)带式输送机的机头和机尾滚筒下风侧１０~２０m 范围内 应当监测烟雾和一氧化碳等参数,每延长１０００m 至少增设一处监 测点,必须实现带式输送机火灾监测预警功能. (二)必须加强巷道维护和带式输送机运行管理,防止带式输 送机设备因巷道变形、托辊等部件故障引发火灾.

[3] 来源：煤矿安全规程2025.pdf；片段：第二百零五条-204；得分：0.8019
第二百零五条 抽采瓦斯必须遵守下列规定: (一)抽采容易自燃和自燃煤层的采空区瓦斯时,抽采管路应 当安设一氧化碳、甲烷、温度传感器,实现实时监测监控.发现有 自然发火预兆时,应当立即采取措施. (二)井上下敷设的瓦斯管路,不得与非本质安全型带电物体 接触,并应当有防止砸坏管路的措施. (三)采用干式抽采瓦斯设备时,必须具有自动监控瓦斯浓度 功能的装置,进入抽采泵的瓦斯浓度必须高于２５％或者低于２％、 煤尘浓度不得高于１g/m ３,否则不得使用干式抽采.采用干式抽 采必须由煤矿企业技术负责人审批. (四)在抽采泵出气侧管路及利用瓦斯的系统中必须装设有防 回火、防回流和防爆炸作用的安全装置. (五)瓦斯利用应当按照国家相关规定执行. 第二节 煤尘爆炸防治

[4] 来源：煤矿安全规程2025.pdf；片段：第五百三十九条-532；得分：0.7993
第五百三十九条 采煤机、掘进机、掘锚一体机、连续采煤机、 TBM 等必须设置具有断电闭锁功能的甲烷断电仪.高瓦斯、突 出矿井采煤机机载断电仪的甲烷浓度以及采煤机开停等监控数据 应当接入安全监控系统. 井下下列设备必须设置具有断电闭锁功能的甲烷断电仪,或 者无线甲烷传感器,或者便携式甲烷检测报警仪: (一)梭车、锚杆钻车. (二)采 用 防 爆 蓄 电 池 或 者 防 爆 柴 油 机 为 动 力 装 置 的 运 输 设备. (三)其他需要安装的移动设备.","[1] 不得采用局部通风机或局部通风机群代替临时通风机 -> REQUIRES -> 局部通风机（第一百零七条；条件：禁止使用；证据：不得采用局部通风机或者局部通风机群代替临时通风机）
[2] 第一百零七条 -> CONTAINS -> 不得采用局部通风机或局部通风机群代替临时通风机（第一百零七条；条件：不具备安装主要通风机条件；证据：但不得采用局部通风机或者局部通风机群代替临时通风机）
[3] 局部通风机 -> REQUIRES -> 备用局部通风机（第一百三十四条；证据：配备备用局部通风机）
[4] 自动切换通风机 -> NEXT -> 停机闭锁（第一百八十三条；证据：正常工作的局部通风机发生故障、切换到备用局部通风机工作时,该局部通风机通风范围内应当停止工作）
[5] 局部通风机 -> REQUIRES -> 设备开停传感器（第五百四十二条；证据：主要通风机、局部通风机必须设置设备开停传感器）",0.7143,0.6667,0.2011,0.762,0.625,0.7143
Q10,回风巷检测到一氧化碳升高并出现焦糊味，调度室应怎样判断和布置？,按火灾征兆处理，立即上报调度，停工撤人，设警戒，组织复查与持续监测。,"['火灾', '上报调度', '停止作业', '撤离人员', '设置警戒', '组织救援', '持续监测']",pure_llm,纯LLM,"风险判断：存在火灾或设备过热风险，可能引发火灾或瓦斯爆炸。  
依据：一氧化碳升高和焦糊味是典型火灾前兆，尤其在回风巷易积聚有害气体。  
处置动作：立即通知井下人员撤离，切断电源，启动防灭火预案，加强气体监测。  
责任分工：调度室负责指挥协调，通风部门分析气体来源，安监人员组织撤离，机电部门排查设备故障。",1.406,,,0.5714,0.4211,0.1556,0.656,0.3333,0.5714
Q10,回风巷检测到一氧化碳升高并出现焦糊味，调度室应怎样判断和布置？,按火灾征兆处理，立即上报调度，停工撤人，设警戒，组织复查与持续监测。,"['火灾', '上报调度', '停止作业', '撤离人员', '设置警戒', '组织救援', '持续监测']",vector_rag,纯向量RAG,"风险判断：回风巷一氧化碳升高并出现焦糊味，存在火灾或设备过热风险，可能引发瓦斯爆炸或人员中毒。  
依据：规程第一百五十六条规定一氧化碳最高允许浓度为0.0024%，超限需立即处理；第一百九十一条要求对异常气体浓度查明原因。  
处置动作：调度室应立即通知井下人员撤离受影响区域，切断电源，启动火灾应急预案，并派救护队查明火源。  
责任分工：调度室负责指挥协调，通风部门监测气体变化，安监部门监督措施落实，矿领导组织应急响应。",1.888,"[1] 来源：煤矿安全规程2025.pdf；片段：第一百九十一条-191；得分：0.7528
第一百九十一条 矿井总回风巷中甲烷或者二氧化碳浓度达 到０．７５％时,必须立即查明原因,进行处理.

[2] 来源：煤矿安全规程2025.pdf；片段：第一百五十六条-156；得分：0.7369
第一百五十六条 井下风流中的空气成分必须符合下列安全 健康指标要求: (一)采掘工作面的进风流中,氧气浓度不低于２０％,二氧化 碳浓度不超过０．５％. (二)有害气体的浓度不超过表５规定. 表５ 矿井有害气体最高允许浓度 名 称 最高允许浓度/％ 一氧化碳 CO ０．００２４ 氧化氮(换算成 NO２) ０．０００２５ 二氧化硫SO２ ０．０００５ 硫化氢 H２S ０．０００６６ 氨 NH３ ０．００４ 甲烷、二氧化碳和氢气的允许浓度按照本规程的有关规定 执行. 矿井中所有气体的浓度均按照体积百分比计算.

[3] 来源：煤矿安全规程2025.pdf；片段：第一百九十五条-194；得分：0.734
第一百九十五条 修复旧井巷时,必须首先检查瓦斯.当瓦 斯积聚时,必须按照规定排放,只有在回风流中甲烷浓度不超过 １．０％、二氧化碳浓度不超过１．５％、空气成分符合本规程第一百 五十六条的要求时,才能作业.

[4] 来源：煤矿安全规程2025.pdf；片段：第一百九十二条-192；得分：0.7236
第一百九十二条 采区回风巷、采掘工作面回风巷风流中甲 烷浓度达到１．０％或者二氧化碳浓度达到１．５％时,必须停止工 作,撤出人员,采取措施,进行处理.",,0.7143,0.5263,0.1172,0.6,0.4167,0.7143
Q10,回风巷检测到一氧化碳升高并出现焦糊味，调度室应怎样判断和布置？,按火灾征兆处理，立即上报调度，停工撤人，设警戒，组织复查与持续监测。,"['火灾', '上报调度', '停止作业', '撤离人员', '设置警戒', '组织救援', '持续监测']",hybrid_graph,混合图检索策略,"风险判断：回风巷一氧化碳升高并出现焦糊味，存在火灾或设备过热风险，可能引发瓦斯爆炸或人员中毒。  
依据：规程第一百五十六条规定一氧化碳最高允许浓度为0.0024%，超限需立即处理；第一百九十一条要求对异常气体浓度查明原因。  
处置动作：调度室应立即通知井下撤人，切断电源，启动火灾应急预案，并通知通风、安监部门排查火源。  
责任分工：调度室负责指挥协调，通风部门检测气体并分析原因，安监部门监督措施落实，矿领导决策应急响应。",2.516,"[1] 来源：煤矿安全规程2025.pdf；片段：第一百九十一条-191；得分：0.7528
第一百九十一条 矿井总回风巷中甲烷或者二氧化碳浓度达 到０．７５％时,必须立即查明原因,进行处理.

[2] 来源：煤矿安全规程2025.pdf；片段：第一百五十六条-156；得分：0.7369
第一百五十六条 井下风流中的空气成分必须符合下列安全 健康指标要求: (一)采掘工作面的进风流中,氧气浓度不低于２０％,二氧化 碳浓度不超过０．５％. (二)有害气体的浓度不超过表５规定. 表５ 矿井有害气体最高允许浓度 名 称 最高允许浓度/％ 一氧化碳 CO ０．００２４ 氧化氮(换算成 NO２) ０．０００２５ 二氧化硫SO２ ０．０００５ 硫化氢 H２S ０．０００６６ 氨 NH３ ０．００４ 甲烷、二氧化碳和氢气的允许浓度按照本规程的有关规定 执行. 矿井中所有气体的浓度均按照体积百分比计算.

[3] 来源：煤矿安全规程2025.pdf；片段：第一百九十五条-194；得分：0.734
第一百九十五条 修复旧井巷时,必须首先检查瓦斯.当瓦 斯积聚时,必须按照规定排放,只有在回风流中甲烷浓度不超过 １．０％、二氧化碳浓度不超过１．５％、空气成分符合本规程第一百 五十六条的要求时,才能作业.

[4] 来源：煤矿安全规程2025.pdf；片段：第一百九十二条-192；得分：0.7236
第一百九十二条 采区回风巷、采掘工作面回风巷风流中甲 烷浓度达到１．０％或者二氧化碳浓度达到１．５％时,必须停止工 作,撤出人员,采取措施,进行处理.","[1] 第五百二十七条 -> CONTAINS -> 显示和控制终端、调度台设置在矿调度室（第五百二十七条；证据：安全监控、人员位置监测和视频监视系统的显示和控制终端,有线调度通信系统的调度台必须设置在矿调度室）
[2] 抽采瓦斯泵房 -> REQUIRES -> 监测预警系统（第二百零三条；证据：泵房必须有直通矿调度室的电话和检测管道瓦斯浓度、流量、压力等参数的仪表或者自动监测系统）
[3] 定期检测、分析和整理记录 -> NEXT -> 发现问题及时报告处理（第二百七十三条；证据：发现问题及时报告处理）
[4] 第四百四十六条 -> CONTAINS -> 可以不进行性能检验（第四百四十六条；条件：inclined_shaft_material_rope AND has_certificate_and_report AND no_corrosion_or_damage；证据：专用于斜井提升物料且直径不大于１８mm 的钢丝绳,有产品合格证和检测检验报告等,外观检查无锈蚀和损伤的,可以不进行(一)所要求的检验）
[5] 水害 -> APPLIES_TO -> 报矿调度室（第二百九十二条；证据：报告矿调度室）",0.4286,0.3333,0.1167,0.5605,0.2727,0.4286
